A,B,C,D,E,F,G,H,J,K,Frequency,Data Accuracy,Technical Maturity,Setup time,Safety,Human Judgement,Cost_norm,Cost,Utility
A1,B4,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B4,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B4,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B4,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B4,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B4,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B4,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B4,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B4,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B4,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B4,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B4,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B4,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B4,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B4,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A1,B4,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A1,B4,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A1,B4,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A1,B4,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A1,B4,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A1,B4,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A1,B4,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A1,B4,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A1,B4,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A1,B4,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A1,B4,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A1,B4,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A1,B4,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A1,B4,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A1,B4,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A1,B4,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B1,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B1,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B1,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B1,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B1,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B1,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B1,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B1,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B1,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B1,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B1,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B1,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B1,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B1,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B1,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B1,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B1,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B1,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B1,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B1,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B1,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B1,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B1,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B1,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B1,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B1,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B1,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B1,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B1,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B1,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B1,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B1,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B2,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B2,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B2,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B2,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B2,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B2,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B2,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B2,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B2,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B2,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B2,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B2,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B2,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B2,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B2,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B2,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B2,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B2,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B2,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B2,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B2,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B2,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B2,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B2,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B2,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B2,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B2,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B2,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B2,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B2,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B2,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B2,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B3,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B3,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B3,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B3,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B3,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B3,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B3,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B3,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B3,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B3,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B3,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B3,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B3,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B3,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B3,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B3,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B3,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B3,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B3,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B3,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B3,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B3,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B3,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B3,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B3,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B3,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B3,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B3,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B3,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B3,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B3,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B3,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B4,C2,D2,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B4,C2,D2,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B4,C2,D2,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B4,C2,D2,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B4,C2,D2,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B4,C2,D2,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B4,C2,D2,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B4,C2,D2,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B4,C2,D2,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B4,C2,D2,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B4,C2,D2,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B4,C2,D2,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B4,C2,D2,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B4,C2,D2,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B4,C2,D2,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B4,C2,D2,E3,F1,G4,H1,J3,K4,,,,,,,,,
A2,B4,C2,D3,E3,F1,G1,H1,J3,K1,,,,,,,,,
A2,B4,C2,D3,E3,F1,G1,H1,J3,K2,,,,,,,,,
A2,B4,C2,D3,E3,F1,G1,H1,J3,K3,,,,,,,,,
A2,B4,C2,D3,E3,F1,G1,H1,J3,K4,,,,,,,,,
A2,B4,C2,D3,E3,F1,G2,H1,J3,K1,,,,,,,,,
A2,B4,C2,D3,E3,F1,G2,H1,J3,K2,,,,,,,,,
A2,B4,C2,D3,E3,F1,G2,H1,J3,K3,,,,,,,,,
A2,B4,C2,D3,E3,F1,G2,H1,J3,K4,,,,,,,,,
A2,B4,C2,D3,E3,F1,G3,H1,J3,K1,,,,,,,,,
A2,B4,C2,D3,E3,F1,G3,H1,J3,K2,,,,,,,,,
A2,B4,C2,D3,E3,F1,G3,H1,J3,K3,,,,,,,,,
A2,B4,C2,D3,E3,F1,G3,H1,J3,K4,,,,,,,,,
A2,B4,C2,D3,E3,F1,G4,H1,J3,K1,,,,,,,,,
A2,B4,C2,D3,E3,F1,G4,H1,J3,K2,,,,,,,,,
A2,B4,C2,D3,E3,F1,G4,H1,J3,K3,,,,,,,,,
A2,B4,C2,D3,E3,F1,G4,H1,J3,K4,,,,,,,,,
